player_id,firstname,lastname,position,height,weight,byear,rookie
553158,Gorgui,Dieng,Center,83,238,1990,2013
75956,Josh,Childress,Guard-Forward,80,210,1983,2004
66027,Louis,Amundson,Power Forward,81,225,1982,2006
263894,Jason,Smith,Forward-Center,84,240,1986,2007
401085,Eric,Gordon,Shooting Guard,76,215,1988,2008
456449,Alexis,Ajinca,Forward-Center,84,262,1988,2008
329715,Ryan,Anderson,Forward-Center,82,240,1988,2008
263899,Anthony,Morrow,Guard-Forward,78,210,1985,2008
464841,Tyreke,Evans,Guard-Forward,78,220,1989,2009
457576,Jrue,Holiday,Point Guard,76,205,1990,2009
263025,Greg,Stiemsma,Center,83,260,1985,2009
457688,Al-Farouq,Aminu,Small Forward,81,215,1990,2010
329890,Lance,Thomas,Forward,80,225,1988,2011
603096,Anthony,Davis,Forward-Center,82,220,1993,2012
601139,Austin,Rivers,Guard,76,200,1992,2012
469083,Tyshawn,Taylor,Point Guard,75,185,1990,2012
469484,Darius,Miller,Guard-Forward,80,225,1990,2012
263565,Brian,Roberts,Guard,73,173,1985,2012
457334,Jeff,Withey,Center,84,235,1990,2013
296950,Arinze,Onuaku,Power Forward,82,275,1987,2013
3321,Metta,World Peace,Forward,79,250,1979,1999
3381,Kenyon,Martin,Forward-Center,81,225,1977,2000
3493,Tyson,Chandler,Center,85,245,1982,2001
168015,Amar'e,Stoudemire,Forward-Center,83,245,1982,2002
172890,Carmelo,Anthony,Forward,80,240,1984,2003
253997,J.R.,Smith,Guard-Forward,78,220,1985,2004
254007,Beno,Udrih,Point Guard,75,210,1982,2004
174063,Raymond,Felton,Guard,73,205,1984,2005
329185,Andrea,Bargnani,Forward-Center,84,250,1985,2006
398443,Cole,Aldrich,Center,83,245,1988,2010
457186,Iman,Shumpert,Guard-Forward,77,220,1990,2011
599813,Jeremy,Tyler,Center,82,260,1991,2011
552599,Pablo,Prigioni,Guard,75,185,1977,2012
436242,Chris,Smith,Guard,74,200,1987,2013
551771,Tim,Hardaway Jr.,Shooting Guard,78,205,1992,2013
470273,Toure',Murry,Shooting Guard,77,195,1989,2013
3107,Derek,Fisher,Point Guard,73,210,1974,1996
57819,Nick,Collison,Forward-Center,82,255,1980,2003
214162,Kendrick,Perkins,Center,82,270,1984,2003
62142,Royal,Ivey,Shooting Guard,76,215,1981,2004
329187,Thabo,Sefolosha,Guard-Forward,79,222,1984,2006
329525,Kevin,Durant,Forward,81,240,1988,2007
329830,Russell,Westbrook,Point Guard,75,200,1988,2008
456450,Serge,Ibaka,Forward-Center,82,235,1989,2009
329487,Hasheem,Thabeet,Center,87,263,1987,2009
462444,Reggie,Jackson,Guard,75,208,1990,2011
552980,Jeremy,Lamb,Guard-Forward,77,185,1992,2012
551738,Perry,Jones,Forward,83,235,1991,2012
679478,Steven,Adams,Center,84,255,1993,2013
548635,Andre,Roberson,Forward,79,210,1991,2013
61934,Jameer,Nelson,Point Guard,72,190,1982,2004
65968,Jason,Maxiell,Power Forward,79,260,1983,2005
76032,Ronnie,Price,Guard,74,190,1983,2005
263012,Solomon,Jones,Forward-Center,82,235,1984,2006
263229,Arron,Afflalo,Guard-Forward,77,215,1985,2007
263904,Glen,Davis,Forward-Center,81,289,1986,2007
457598,Nikola,Vucevic,Forward-Center,84,240,1990,2011
552523,Tobias,Harris,Forward,81,226,1992,2011
398424,E'Twaun,Moore,Guard,76,191,1989,2011
609843,Maurice,Harkless,Small Forward,81,220,1993,2012
462970,Andrew,Nicholson,Power Forward,81,250,1989,2012
553576,Doron,Lamb,Shooting Guard,76,200,1991,2012
483372,Kyle,O'Quinn,Forward-Center,82,240,1990,2012
553166,Victor,Oladipo,Guard,76,215,1992,2013
3492,Kwame,Brown,Center,83,290,1982,2001
3496,Jason,Richardson,Guard-Forward,78,225,1981,2001
329824,Spencer,Hawes,Forward-Center,85,245,1988,2007
329683,Thaddeus,Young,Forward,80,220,1988,2007
398068,Evan,Turner,Guard-Forward,79,220,1988,2010
399702,James,Anderson,Guard-Forward,78,215,1989,2010
467272,Elliot,Williams,Shooting Guard,77,185,1989,2010
509453,Daniel,Orton,Forward-Center,82,275,1990,2010
402984,Lavoy,Allen,Forward-Center,81,255,1989,2011
607544,Tony,Wroten,Point Guard,78,210,1993,2012
458982,Arnett,Moultrie,Power Forward,82,245,1990,2012
513268,Hollis,Thompson,Forward,80,206,1991,2013
699947,Nerlens,Noel,Forward-Center,82,228,1994,2013
